Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-19,Google,TienTran,PerMax,258371,10819,0,134,0,0,0,3,3,1475304.347826087,998000,86123.66666666667,1,23881.22747019133,1928.141791044776,0.0
2020-07-19,Google,TienTran,Guu-Search,59213,351,0,16,0,0,0,1,1,499000.0,499000,59213.0,1,168698.0056980057,3700.8125,0.0
2020-07-19,Google,TienTran,Guu-Discovery,114694,7295,0,322,0,0,0,1,1,499000.0,499000,114694.0,1,15722.275531185744,356.1925465838509,0.0
2020-07-19,Google,TienTran,Guu-PerMax,209451,7022,0,101,0,0,0,0,0,0.0,0,0.0,0,29827.82682996297,2073.772277227723,0.0
2020-07-19,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-20,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-20,FB,DucVu,Mess,0,0,0,0,0,0,0,1,1,499000.0,499000,0.0,1,0.0,0.0,0.0
2020-07-20,FB,DucVu,Brand,739234,178692,118181,207,0,0,0,0,0,0.0,0,0.0,0,4136.917153537931,3571.1787439613527,0.0
2020-07-20,FB,NgocNgo,CVS,544611,9324,8186,37,0,1,0,71,59,29289130.43478261,25449000,7670.577464788732,1,58409.58815958816,14719.216216216217,544611.0
2020-07-20,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-20,FB,GiangPhan,CVS,1778217,24181,22316,145,5,15,0,9,5,2473304.347826087,1996000,197579.66666666663,1,73537.77759397874,12263.56551724138,118547.8
2020-07-20,FB,AnhNguyen08,CVS,122290,1811,1751,1,0,0,0,0,0,0.0,0,0.0,0,67526.22860298178,122290.0,0.0
2020-07-20,FB,TungTran,CVS,621441,8108,7431,13,2,3,0,3,1,499000.0,499000,207147.0,0,76645.41193882584,47803.15384615384,207147.0
2020-07-20,FB,AnhTrinh,CVS,120280,1972,1877,7,1,0,0,0,0,0.0,0,0.0,0,60993.91480730223,17182.85714285714,0.0
2020-07-20,FB,YenNguyen02,CVS,0,86281,71891,297,14,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-20,FB,ThuHoang,CVS,1094505,13847,12092,147,4,1,0,9,8,3992000.0,3992000,121611.66666666669,1,79042.75294287571,7445.612244897959,1094505.0
2020-07-20,Google,TienTran,Search,433701,5261,0,168,0,0,0,4,3,1497000.0,1497000,108425.25,1,82436.98916555787,2581.553571428572,0.0
2020-07-20,Google,TienTran,Discovery,357740,23395,0,1021,0,0,0,1,1,499000.0,499000,357740.0,1,15291.301560162428,350.38197845249755,0.0
2020-07-20,Google,TienTran,PerMax,237545,8451,0,78,0,0,0,0,0,0.0,0,0.0,0,28108.50786889125,3045.448717948718,0.0
2020-07-20,Google,TienTran,Guu-Search,59213,351,0,16,0,0,0,0,0,0.0,0,0.0,0,168698.0056980057,3700.8125,0.0
2020-07-20,Google,TienTran,Guu-Discovery,114694,7295,0,322,0,0,0,0,0,0.0,0,0.0,0,15722.275531185744,356.1925465838509,0.0
2020-07-20,Google,TienTran,Guu-PerMax,209451,7022,0,101,0,0,0,1,1,499000.0,499000,209451.0,1,29827.82682996297,2073.772277227723,0.0
2020-07-20,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-21,FB,DucVu,CVS,0,0,0,0,0,0,0,2,2,998000.0,998000,0.0,1,0.0,0.0,0.0
2020-07-21,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-21,FB,DucVu,Brand,734976,170308,115620,207,0,0,0,0,0,0.0,0,0.0,0,4315.569438898936,3550.608695652174,0.0
2020-07-21,FB,NgocNgo,CVS,800086,11815,10248,38,0,2,0,60,44,21847521.73913044,18463000,13334.766666666666,1,67717.81633516715,21054.894736842107,400043.0
2020-07-21,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-21,FB,GiangPhan,CVS,3659012,45255,40048,260,12,22,0,22,17,8719608.695652174,7765000,166318.72727272726,1,80853.20959010055,14073.123076923075,166318.72727272726
2020-07-21,FB,AnhNguyen08,CVS,186819,1869,1713,3,1,0,0,2,2,998000.0,998000,93409.5,1,99956.66131621187,62273.0,0.0
2020-07-21,FB,TungTran,CVS,455772,5076,4639,18,0,0,0,1,0,0.0,0,455772.0,0,89789.59810874704,25320.666666666668,0.0
2020-07-21,FB,AnhTrinh,CVS,259081,4477,4147,13,3,0,0,1,1,499000.0,499000,259081.0,1,57869.332142059415,19929.30769230769,0.0
2020-07-21,FB,YenNguyen02,CVS,0,60575,49760,233,12,23,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-21,FB,ThuHoang,CVS,656733,8361,7578,78,2,1,0,2,2,998000.0,998000,328366.5,1,78547.18335127378,8419.653846153846,656733.0
2020-07-21,Google,TienTran,Search,354209,5253,0,156,0,0,0,2,2,998000.0,998000,177104.5,1,67429.84960974682,2270.5705128205127,0.0
